Date : 2023-12-19 12:53:48
Directory : c:\Users\29032\Desktop\daershang\database
Total : 1521 files,  294900 codes, 91895 comments, 38805 blanks, all 425600 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Server\Status\Monitor.php                                                | PHP                |        595 |        155 |         80 |        830 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Server\Status\Processes.php                                              | PHP                |        236 |         40 |         27 |        303 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Server\Status\Queries.php                                                | PHP                |        108 |         36 |         13 |        157 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Server\Status\Variables.php                                              | PHP                |        680 |         68 |         29 |        777 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Server\UserGroups.php                                                    | PHP                |        289 |         64 |         27 |        380 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Server\Users.php                                                         | PHP                |         39 |         18 |          6 |         63 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Session.php                                                              | PHP                |        114 |         98 |         24 |        236 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Sql.php                                                                  | PHP                |      1,432 |        672 |        206 |      2,310 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SqlQueryForm.php                                                         | PHP                |        326 |         82 |         39 |        447 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\StorageEngine.php                                                        | PHP                |        284 |        138 |         40 |        462 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SubPartition.php                                                         | PHP                |         68 |        100 |         13 |        181 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SysInfo.php                                                              | PHP                |         28 |         29 |          8 |         65 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SysInfoBase.php                                                          | PHP                |         18 |         26 |          5 |         49 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SysInfoLinux.php                                                         | PHP                |         55 |         26 |         14 |         95 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SysInfoSunOS.php                                                         | PHP                |         40 |         33 |         10 |         83 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SysInfoWINNT.php                                                         | PHP                |         74 |         38 |         16 |        128 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\SystemDatabase.php                                                       | PHP                |         72 |         44 |         18 |        134 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Table.php                                                                | PHP                |      1,621 |        749 |        258 |      2,628 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Template.php                                                             | PHP                |         82 |         45 |          9 |        136 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Theme.php                                                                | PHP                |        219 |        199 |         48 |        466 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\ThemeManager.php                                                         | PHP                |        222 |        177 |         55 |        454 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Tracker.php                                                              | PHP                |        521 |        260 |        134 |        915 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Tracking.php                                                             | PHP                |        822 |        349 |        104 |      1,275 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Transformations.php                                                      | PHP                |        279 |        139 |         52 |        470 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\CharsetsExtension.php                                               | PHP                |         26 |         16 |          3 |         45 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\CoreExtension.php                                                   | PHP                |         17 |         16 |          3 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\I18nExtension.php                                                   | PHP                |         18 |         21 |          4 |         43 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\I18n\NodeTrans.php                                                  | PHP                |        109 |         39 |         22 |        170 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\I18n\TokenParserTrans.php                                           | PHP                |         45 |         27 |         10 |         82 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\IndexExtension.php                                                  | PHP                |         17 |         16 |          3 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\MessageExtension.php                                                | PHP                |         27 |         16 |          3 |         46 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\PartitionExtension.php                                              | PHP                |         17 |         16 |          3 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\PhpFunctionsExtension.php                                           | PHP                |         21 |         16 |          3 |         40 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\PluginsExtension.php                                                | PHP                |         32 |         16 |          3 |         51 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\RelationExtension.php                                               | PHP                |         36 |         16 |          3 |         55 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\SanitizeExtension.php                                               | PHP                |         27 |         16 |          3 |         46 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\ServerPrivilegesExtension.php                                       | PHP                |         17 |         16 |          3 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\StorageEngineExtension.php                                          | PHP                |         17 |         16 |          3 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\TableExtension.php                                                  | PHP                |         16 |         16 |          3 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\TrackerExtension.php                                                | PHP                |         16 |         16 |          3 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\TransformationsExtension.php                                        | PHP                |         20 |         16 |          3 |         39 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\UrlExtension.php                                                    | PHP                |         36 |         16 |          3 |         55 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Twig\UtilExtension.php                                                   | PHP                |        171 |         16 |          3 |        190 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\TwoFactor.php                                                            | PHP                |        165 |        103 |         21 |        289 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Types.php                                                                | PHP                |        623 |        139 |         44 |        806 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Url.php                                                                  | PHP                |        112 |        136 |         20 |        268 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\UserPassword.php                                                         | PHP                |        160 |         70 |         22 |        252 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\UserPreferences.php                                                      | PHP                |        178 |         81 |         16 |        275 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Util.php                                                                 | PHP                |      2,898 |      1,390 |        429 |      4,717 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\Utils\HttpRequest.php                                                    | PHP                |        160 |         84 |         15 |        259 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\VersionInformation.php                                                   | PHP                |        149 |         57 |         23 |        229 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\classes\ZipExtension.php                                                         | PHP                |        175 |         78 |         33 |        286 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\common.inc.php                                                                   | PHP                |        191 |        198 |         68 |        457 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\config.default.php                                                               | PHP                |        477 |      2,305 |        441 |      3,223 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\config.values.php                                                                | PHP                |        247 |         30 |          8 |        285 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\db_common.inc.php                                                                | PHP                |         93 |         34 |         16 |        143 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\db_table_exists.inc.php                                                          | PHP                |         84 |         16 |         12 |        112 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\dbi\dbi_dummy.inc.php                                                            | PHP                |        868 |         18 |          4 |        890 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\error.inc.php                                                                    | PHP                |         51 |          7 |          3 |         61 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\hash.lib.php                                                                     | PHP                |         11 |         15 |          3 |         29 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\information_schema_relations.inc.php                                             | PHP                |        315 |          9 |          3 |        327 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\language_stats.inc.php                                                           | PHP                |         91 |          2 |          2 |         95 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\mult_submits.inc.php                                                             | PHP                |        278 |         31 |         23 |        332 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\mysql_relations.inc.php                                                          | PHP                |        158 |          9 |          2 |        169 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\replication.inc.php                                                              | PHP                |        116 |         39 |         18 |        173 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\rte\rte_main.inc.php                                                             | PHP                |         57 |         24 |          9 |         90 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\server_common.inc.php                                                            | PHP                |         15 |         22 |          7 |         44 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\special_schema_links.inc.php                                                     | PHP                |        446 |         41 |          4 |        491 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\tbl_columns_definition_form.inc.php                                              | PHP                |        364 |         36 |         44 |        444 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\tbl_common.inc.php                                                               | PHP                |         22 |         21 |         10 |         53 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\tbl_partition_definition.inc.php                                                 | PHP                |        109 |         17 |         18 |        144 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\user_preferences.inc.php                                                         | PHP                |         63 |         10 |          6 |         79 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\libraries\vendor_config.php                                                                | PHP                |         16 |         52 |         13 |         81 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\license.php                                                                                | PHP                |         19 |         16 |          6 |         41 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\lint.php                                                                                   | PHP                |         21 |         22 |         10 |         53 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\logout.php                                                                                 | PHP                |          8 |          6 |          4 |         18 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\navigation.php                                                                             | PHP                |         62 |          9 |          9 |         80 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\normalization.php                                                                          | PHP                |        110 |          7 |          9 |        126 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\package.json                                                                               | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\phpinfo.php                                                                                | PHP                |          8 |         12 |          3 |         23 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\phpmyadmin.css.php                                                                         | PHP                |         15 |         12 |          8 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\prefs_forms.php                                                                            | PHP                |         67 |         16 |         12 |         95 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\prefs_manage.php                                                                           | PHP                |        343 |         24 |         14 |        381 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\prefs_twofactor.php                                                                        | PHP                |         38 |          9 |          6 |         53 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\print.css                                                                                  | CSS                |         71 |          0 |         22 |         93 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\schema_export.php                                                                          | PHP                |         11 |         17 |          6 |         34 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_binlog.php                                                                          | PHP                |         19 |          7 |          5 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_collations.php                                                                      | PHP                |         19 |          7 |          5 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_databases.php                                                                       | PHP                |         19 |          7 |          5 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_engines.php                                                                         | PHP                |         19 |          7 |          5 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_export.php                                                                          | PHP                |         31 |          9 |          8 |         48 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_import.php                                                                          | PHP                |         17 |         12 |          6 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_plugins.php                                                                         | PHP                |         19 |          7 |          5 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_privileges.php                                                                      | PHP                |        346 |         83 |         42 |        471 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_replication.php                                                                     | PHP                |         54 |         26 |         13 |         93 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_sql.php                                                                             | PHP                |         14 |         15 |          6 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_status.php                                                                          | PHP                |         23 |         12 |          6 |         41 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_status_advisor.php                                                                  | PHP                |         24 |          9 |          7 |         40 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_status_monitor.php                                                                  | PHP                |         65 |         21 |         17 |        103 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_status_processes.php                                                                | PHP                |         42 |         15 |          6 |         63 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_status_queries.php                                                                  | PHP                |         33 |          8 |          8 |         49 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_status_variables.php                                                                | PHP                |         41 |          9 |          9 |         59 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_user_groups.php                                                                     | PHP                |         44 |         22 |         12 |         78 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\server_variables.php                                                                       | PHP                |         19 |          7 |          5 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\ajax.js                                                                              | JavaScript         |          7 |          4 |          1 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\config.php                                                                           | PHP                |         26 |         19 |          6 |         51 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\frames\config.inc.php                                                                | PHP                |         28 |          6 |          6 |         40 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\frames\form.inc.php                                                                  | PHP                |         16 |          6 |          4 |         26 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\frames\index.inc.php                                                                 | PHP                |        205 |         33 |         32 |        270 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\frames\menu.inc.php                                                                  | PHP                |         22 |          6 |          6 |         34 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\frames\servers.inc.php                                                               | PHP                |         31 |          8 |          6 |         45 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\index.php                                                                            | PHP                |         48 |         12 |          8 |         68 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\lib\ConfigGenerator.php                                                              | PHP                |        112 |         58 |         13 |        183 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\lib\FormProcessing.php                                                               | PHP                |         49 |         23 |          6 |         78 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\lib\Index.php                                                                        | PHP                |        132 |         47 |         13 |        192 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\lib\common.inc.php                                                                   | PHP                |         29 |         13 |          8 |         50 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\scripts.js                                                                           | JavaScript         |        135 |         62 |         22 |        219 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\styles.css                                                                           | CSS                |        483 |         14 |        115 |        612 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\setup\validate.php                                                                         | PHP                |         22 |          9 |          6 |         37 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\show_config_errors.php                                                                     | PHP                |         20 |         15 |          5 |         40 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\sql.php                                                                                    | PHP                |        135 |         54 |         28 |        217 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\sql\create_tables.sql                                                                      | SQL                |        194 |        100 |         62 |        356 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\sql\upgrade_column_info_4_3_0+.sql                                                         | SQL                |         26 |         17 |          5 |         48 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\sql\upgrade_tables_4_7_0+.sql                                                              | SQL                |          3 |         17 |          5 |         25 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\sql\upgrade_tables_mysql_4_1_2+.sql                                                        | SQL                |         73 |         44 |         28 |        145 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_addfield.php                                                                           | PHP                |         89 |         30 |         15 |        134 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_change.php                                                                             | PHP                |        135 |         49 |         37 |        221 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_chart.php                                                                              | PHP                |         19 |          8 |          6 |         33 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_create.php                                                                             | PHP                |         68 |         27 |         15 |        110 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_export.php                                                                             | PHP                |         98 |         26 |         21 |        145 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_find_replace.php                                                                       | PHP                |         18 |         12 |          6 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_get_field.php                                                                          | PHP                |         35 |         17 |         11 |         63 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_gis_visualization.php                                                                  | PHP                |         29 |          8 |          6 |         43 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_import.php                                                                             | PHP                |         17 |         12 |          6 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_indexes.php                                                                            | PHP                |         34 |          9 |          8 |         51 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_operations.php                                                                         | PHP                |        336 |         91 |         46 |        473 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_recent_favorite.php                                                                    | PHP                |          8 |          6 |          6 |         20 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_relation.php                                                                           | PHP                |         49 |         16 |          7 |         72 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_replace.php                                                                            | PHP                |        356 |         79 |         51 |        486 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_row_action.php                                                                         | PHP                |        128 |         28 |         22 |        178 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_select.php                                                                             | PHP                |         19 |         14 |          6 |         39 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_sql.php                                                                                | PHP                |         25 |         17 |          7 |         49 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_structure.php                                                                          | PHP                |         43 |          9 |          6 |         58 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_tracking.php                                                                           | PHP                |        150 |         31 |         27 |        208 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_triggers.php                                                                           | PHP                |          2 |          6 |          2 |         10 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tbl_zoom_select.php                                                                        | PHP                |         18 |         13 |          6 |         37 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes.php                                                                                 | PHP                |         21 |          9 |          6 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\original\css\common.css.php                                                         | PHP                |      2,783 |        158 |        494 |      3,435 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\original\css\navigation.css.php                                                     | PHP                |        380 |         18 |         27 |        425 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\original\css\printview.css                                                          | CSS                |        118 |         20 |         32 |        170 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\original\jquery\jquery-ui.css                                                       | CSS                |      1,222 |         48 |         43 |      1,313 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\original\layout.inc.php                                                             | PHP                |         19 |         45 |         13 |         77 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\original\theme.json                                                                 | JSON               |          8 |          0 |          1 |          9 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\codemirror.css.php                                                     | PHP                |         74 |          9 |          3 |         86 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\common.css.php                                                         | PHP                |      3,020 |        129 |        536 |      3,685 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\designer.css.php                                                       | PHP                |        433 |         10 |         73 |        516 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\enum_editor.css.php                                                    | PHP                |         54 |         14 |         13 |         81 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\gis.css.php                                                            | PHP                |         33 |         11 |          9 |         53 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\icons.css.php                                                          | PHP                |        184 |          8 |          3 |        195 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\jqplot.css.php                                                         | PHP                |        188 |         40 |         46 |        274 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\navigation.css.php                                                     | PHP                |        388 |         17 |         25 |        430 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\printview.css                                                          | CSS                |        118 |         20 |         32 |        170 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\resizable-menu.css.php                                                 | PHP                |         40 |         10 |          8 |         58 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\css\rte.css.php                                                            | PHP                |         34 |          9 |          8 |         51 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\jquery\jquery-ui.css                                                       | CSS                |      1,222 |         48 |         43 |      1,313 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\layout.inc.php                                                             | PHP                |         19 |         45 |         14 |         78 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\pmahomme\theme.json                                                                 | JSON               |          8 |          0 |          2 |         10 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\themes\svg_gradient.php                                                                    | PHP                |         36 |         14 |          4 |         54 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\0e\0e22db8df5030d0443e23931dbd9b836fd6294199138f7b6c94d284ba8e889a7.php           | PHP                |         78 |         15 |         11 |        104 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\26\26d58013c79641023ade7aa516c595de43ecefd56e0dc5ad046876edeee32d28.php           | PHP                |         63 |         11 |         12 |         86 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\32\32649443d73242d7e35563f492b7b6a79ae8bc946aa655ea3e97e5b2435c85e1.php           | PHP                |         46 |          4 |         11 |         61 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\3d\3dd12488805acdf1431c9d27f9534f681050f2ea78e0c2eaf18fad4fbad52a1e.php           | PHP                |         57 |          8 |         13 |         78 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\42\4289c0a8e6c6aefa1a50e045c35c7ded64cc509787ed5022914fa85b34acf005.php           | PHP                |         75 |         14 |         12 |        101 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\46\464bdc4dd1fa1d2950a8933e29f50c011326b6ad3cbb031f060769c3dc15970a.php           | PHP                |        190 |         53 |         11 |        254 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\49\492d2e1132a8d980135ad8fa3d84aca40d49603d63922a62e9c41d699915bb12.php           | PHP                |         63 |         10 |         11 |         84 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\4d\4d0565a221239c45dd09f5cb648962419d4d363dbc847d17942504289e842b1b.php           | PHP                |         87 |         21 |         14 |        122 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\60\607dd8d29ed32731408b7b1b7e70d009b04762e4b8eb18d103325e6f43b67141.php           | PHP                |         56 |          9 |         11 |         76 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\85\85dfacaf1696f44332c89c57498c9a41680131a98bd40a72d528e542f2ef5d20.php           | PHP                |         57 |         11 |         11 |         79 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\tmp\twig\8f\8f95bfd89714fc32750432b8b7bcdda518af8ce64663cfc88f3f5559f005d8b8.php           | PHP                |         58 |         11 |         11 |         80 |
