Date : 2023-12-19 12:53:48
Directory : c:\Users\29032\Desktop\daershang\database
Total : 1521 files,  294900 codes, 91895 comments, 38805 blanks, all 425600 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| phpMyAdmin4.8.5\error                                                                                                                                |         15 |      2,718 |          0 |        345 |      3,063 |
| phpMyAdmin4.8.5\examples                                                                                                                             |          4 |        212 |        100 |         30 |        342 |
| phpMyAdmin4.8.5\js                                                                                                                                   |        124 |     57,571 |     14,445 |      6,818 |     78,834 |
| phpMyAdmin4.8.5\js (Files)                                                                                                                           |         58 |     22,266 |      5,872 |      2,166 |     30,304 |
| phpMyAdmin4.8.5\js\codemirror                                                                                                                        |          1 |         34 |          1 |          4 |         39 |
| phpMyAdmin4.8.5\js\codemirror\addon                                                                                                                  |          1 |         34 |          1 |          4 |         39 |
| phpMyAdmin4.8.5\js\codemirror\addon\lint                                                                                                             |          1 |         34 |          1 |          4 |         39 |
| phpMyAdmin4.8.5\js\designer                                                                                                                          |          6 |      2,806 |        268 |        274 |      3,348 |
| phpMyAdmin4.8.5\js\jqplot                                                                                                                            |          1 |         36 |         10 |          1 |         47 |
| phpMyAdmin4.8.5\js\jqplot\plugins                                                                                                                    |          1 |         36 |         10 |          1 |         47 |
| phpMyAdmin4.8.5\js\transformations                                                                                                                   |          6 |         67 |         39 |          8 |        114 |
| phpMyAdmin4.8.5\js\vendor                                                                                                                            |         52 |     32,362 |      8,255 |      4,365 |     44,982 |
| phpMyAdmin4.8.5\js\vendor (Files)                                                                                                                    |          5 |      1,338 |        841 |        261 |      2,440 |
| phpMyAdmin4.8.5\js\vendor\codemirror                                                                                                                 |         11 |     10,473 |      1,188 |      1,278 |     12,939 |
| phpMyAdmin4.8.5\js\vendor\codemirror\addon                                                                                                           |          6 |        976 |         35 |        146 |      1,157 |
| phpMyAdmin4.8.5\js\vendor\codemirror\addon\hint                                                                                                      |          3 |        637 |         23 |         97 |        757 |
| phpMyAdmin4.8.5\js\vendor\codemirror\addon\lint                                                                                                      |          2 |        278 |          7 |         42 |        327 |
| phpMyAdmin4.8.5\js\vendor\codemirror\addon\runmode                                                                                                   |          1 |         61 |          5 |          7 |         73 |
| phpMyAdmin4.8.5\js\vendor\codemirror\lib                                                                                                             |          2 |      7,968 |      1,029 |      1,023 |     10,020 |
| phpMyAdmin4.8.5\js\vendor\codemirror\mode                                                                                                            |          3 |      1,529 |        124 |        109 |      1,762 |
| phpMyAdmin4.8.5\js\vendor\codemirror\mode\javascript                                                                                                 |          1 |        804 |         20 |         45 |        869 |
| phpMyAdmin4.8.5\js\vendor\codemirror\mode\sql                                                                                                        |          1 |        352 |         99 |         40 |        491 |
| phpMyAdmin4.8.5\js\vendor\codemirror\mode\xml                                                                                                        |          1 |        373 |          5 |         24 |        402 |
| phpMyAdmin4.8.5\js\vendor\jqplot                                                                                                                     |         11 |     12,020 |      3,918 |      1,596 |     17,534 |
| phpMyAdmin4.8.5\js\vendor\jqplot (Files)                                                                                                             |          1 |      7,793 |      2,638 |      1,047 |     11,478 |
| phpMyAdmin4.8.5\js\vendor\jqplot\plugins                                                                                                             |         10 |      4,227 |      1,280 |        549 |      6,056 |
| phpMyAdmin4.8.5\js\vendor\jquery                                                                                                                     |         16 |      6,625 |      2,210 |      1,177 |     10,012 |
| phpMyAdmin4.8.5\js\vendor\openlayers                                                                                                                 |          9 |      1,906 |         98 |         53 |      2,057 |
| phpMyAdmin4.8.5\js\vendor\openlayers (Files)                                                                                                         |          1 |      1,368 |         73 |          3 |      1,444 |
| phpMyAdmin4.8.5\js\vendor\openlayers\theme                                                                                                           |          8 |        538 |         25 |         50 |        613 |
| phpMyAdmin4.8.5\js\vendor\openlayers\theme\default                                                                                                   |          8 |        538 |         25 |         50 |        613 |
| phpMyAdmin4.8.5\libraries                                                                                                                            |        398 |     89,436 |     39,450 |     11,824 |    140,710 |
| phpMyAdmin4.8.5\libraries (Files)                                                                                                                    |         20 |      3,167 |      2,900 |        705 |      6,772 |
| phpMyAdmin4.8.5\libraries\certs                                                                                                                      |          1 |         11 |          0 |          6 |         17 |
| phpMyAdmin4.8.5\libraries\classes                                                                                                                    |        375 |     85,333 |     36,508 |     11,100 |    132,941 |
| phpMyAdmin4.8.5\libraries\classes (Files)                                                                                                            |         79 |     34,370 |     15,528 |      4,566 |     54,464 |
| phpMyAdmin4.8.5\libraries\classes\Config                                                                                                             |         35 |      4,394 |      1,408 |        377 |      6,179 |
| phpMyAdmin4.8.5\libraries\classes\Config (Files)                                                                                                     |          8 |      3,569 |      1,162 |        283 |      5,014 |
| phpMyAdmin4.8.5\libraries\classes\Config\Forms                                                                                                       |         27 |        825 |        246 |         94 |      1,165 |
| phpMyAdmin4.8.5\libraries\classes\Config\Forms (Files)                                                                                               |          2 |        103 |         91 |         20 |        214 |
| phpMyAdmin4.8.5\libraries\classes\Config\Forms\Page                                                                                                  |          9 |         91 |         54 |         25 |        170 |
| phpMyAdmin4.8.5\libraries\classes\Config\Forms\Setup                                                                                                 |          9 |        197 |         58 |         21 |        276 |
| phpMyAdmin4.8.5\libraries\classes\Config\Forms\User                                                                                                  |          7 |        434 |         43 |         28 |        505 |
| phpMyAdmin4.8.5\libraries\classes\Controllers                                                                                                        |         16 |      6,773 |      1,494 |        563 |      8,830 |
| phpMyAdmin4.8.5\libraries\classes\Controllers (Files)                                                                                                |          3 |         42 |         57 |         13 |        112 |
| phpMyAdmin4.8.5\libraries\classes\Controllers\Database                                                                                               |          1 |        824 |        218 |         92 |      1,134 |
| phpMyAdmin4.8.5\libraries\classes\Controllers\Server                                                                                                 |          6 |      3,333 |        375 |        149 |      3,857 |
| phpMyAdmin4.8.5\libraries\classes\Controllers\Table                                                                                                  |          6 |      2,574 |        844 |        309 |      3,727 |
| phpMyAdmin4.8.5\libraries\classes\Database                                                                                                           |          6 |      2,412 |      1,038 |        281 |      3,731 |
| phpMyAdmin4.8.5\libraries\classes\Database (Files)                                                                                                   |          5 |      1,854 |        881 |        196 |      2,931 |
| phpMyAdmin4.8.5\libraries\classes\Database\Designer                                                                                                  |          1 |        558 |        157 |         85 |        800 |
| phpMyAdmin4.8.5\libraries\classes\Dbi                                                                                                                |          4 |        713 |        869 |        166 |      1,748 |
| phpMyAdmin4.8.5\libraries\classes\Di                                                                                                                 |          9 |        227 |        263 |         52 |        542 |
| phpMyAdmin4.8.5\libraries\classes\Display                                                                                                            |          7 |      4,138 |      1,961 |        940 |      7,039 |
| phpMyAdmin4.8.5\libraries\classes\Engines                                                                                                            |         12 |        651 |        274 |         64 |        989 |
| phpMyAdmin4.8.5\libraries\classes\Gis                                                                                                                |         10 |      2,566 |      1,374 |        420 |      4,360 |
| phpMyAdmin4.8.5\libraries\classes\Navigation                                                                                                         |         25 |      3,382 |      1,203 |        333 |      4,918 |
| phpMyAdmin4.8.5\libraries\classes\Navigation (Files)                                                                                                 |          4 |      1,638 |        392 |        129 |      2,159 |
| phpMyAdmin4.8.5\libraries\classes\Navigation\Nodes                                                                                                   |         21 |      1,744 |        811 |        204 |      2,759 |
| phpMyAdmin4.8.5\libraries\classes\Plugins                                                                                                            |        114 |     14,689 |      7,934 |      2,212 |     24,835 |
| phpMyAdmin4.8.5\libraries\classes\Plugins (Files)                                                                                                    |          9 |        550 |        637 |        123 |      1,310 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Auth                                                                                                       |          4 |        966 |        408 |        146 |      1,520 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Export                                                                                                     |         17 |      6,744 |      2,476 |        884 |     10,104 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Export (Files)                                                                                             |         15 |      6,000 |      2,170 |        796 |      8,966 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Export\Helpers                                                                                             |          2 |        744 |        306 |         88 |      1,138 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Import                                                                                                     |         13 |      1,976 |        929 |        373 |      3,278 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Import (Files)                                                                                             |          9 |      1,789 |        828 |        331 |      2,948 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Import\Upload                                                                                              |          4 |        187 |        101 |         42 |        330 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Schema                                                                                                     |         23 |      2,900 |      1,842 |        337 |      5,079 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Schema (Files)                                                                                             |          7 |        522 |        408 |         97 |      1,027 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Schema\Dia                                                                                                 |          4 |        547 |        275 |         41 |        863 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Schema\Eps                                                                                                 |          4 |        408 |        339 |         51 |        798 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Schema\Pdf                                                                                                 |          4 |        931 |        476 |         93 |      1,500 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Schema\Svg                                                                                                 |          4 |        492 |        344 |         55 |        891 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Transformations                                                                                            |         44 |      1,287 |      1,461 |        307 |      3,055 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Transformations (Files)                                                                                    |          4 |         56 |         97 |         16 |        169 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Transformations\Abs                                                                                        |         18 |        718 |        672 |        164 |      1,554 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Transformations\Input                                                                                      |          7 |        210 |        259 |         50 |        519 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\Transformations\Output                                                                                     |         15 |        303 |        433 |         77 |        813 |
| phpMyAdmin4.8.5\libraries\classes\Plugins\TwoFactor                                                                                                  |          4 |        266 |        181 |         42 |        489 |
| phpMyAdmin4.8.5\libraries\classes\Properties                                                                                                         |         19 |        362 |        706 |         98 |      1,166 |
| phpMyAdmin4.8.5\libraries\classes\Properties (Files)                                                                                                 |          1 |         11 |         32 |          4 |         47 |
| phpMyAdmin4.8.5\libraries\classes\Properties\Options                                                                                                 |         14 |        255 |        479 |         70 |        804 |
| phpMyAdmin4.8.5\libraries\classes\Properties\Options (Files)                                                                                         |          3 |        136 |        230 |         34 |        400 |
| phpMyAdmin4.8.5\libraries\classes\Properties\Options\Groups                                                                                          |          3 |         39 |         81 |         12 |        132 |
| phpMyAdmin4.8.5\libraries\classes\Properties\Options\Items                                                                                           |          8 |         80 |        168 |         24 |        272 |
| phpMyAdmin4.8.5\libraries\classes\Properties\Plugins                                                                                                 |          4 |         96 |        195 |         24 |        315 |
| phpMyAdmin4.8.5\libraries\classes\Rte                                                                                                                |          8 |      3,006 |        563 |        222 |      3,791 |
| phpMyAdmin4.8.5\libraries\classes\Server                                                                                                             |         11 |      6,805 |      1,466 |        707 |      8,978 |
| phpMyAdmin4.8.5\libraries\classes\Server (Files)                                                                                                     |          5 |      4,785 |      1,045 |        502 |      6,332 |
| phpMyAdmin4.8.5\libraries\classes\Server\Status                                                                                                      |          6 |      2,020 |        421 |        205 |      2,646 |
| phpMyAdmin4.8.5\libraries\classes\Twig                                                                                                               |         19 |        685 |        343 |         84 |      1,112 |
| phpMyAdmin4.8.5\libraries\classes\Twig (Files)                                                                                                       |         17 |        531 |        277 |         52 |        860 |
| phpMyAdmin4.8.5\libraries\classes\Twig\I18n                                                                                                          |          2 |        154 |         66 |         32 |        252 |
| phpMyAdmin4.8.5\libraries\classes\Utils                                                                                                              |          1 |        160 |         84 |         15 |        259 |
| phpMyAdmin4.8.5\libraries\dbi                                                                                                                        |          1 |        868 |         18 |          4 |        890 |
| phpMyAdmin4.8.5\libraries\rte                                                                                                                        |          1 |         57 |         24 |          9 |         90 |
| phpMyAdmin4.8.5\setup                                                                                                                                |         15 |      1,345 |        320 |        252 |      1,917 |
| phpMyAdmin4.8.5\setup (Files)                                                                                                                        |          6 |        721 |        120 |        158 |        999 |
| phpMyAdmin4.8.5\setup\frames                                                                                                                         |          5 |        302 |         59 |         54 |        415 |
| phpMyAdmin4.8.5\setup\lib                                                                                                                            |          4 |        322 |        141 |         40 |        503 |
| phpMyAdmin4.8.5\sql                                                                                                                                  |          4 |        296 |        178 |        100 |        574 |
| phpMyAdmin4.8.5\themes                                                                                                                               |         21 |     10,381 |        673 |      1,429 |     12,483 |
| phpMyAdmin4.8.5\themes (Files)                                                                                                                       |          1 |         36 |         14 |          4 |         54 |
| phpMyAdmin4.8.5\themes\original                                                                                                                      |          6 |      4,530 |        289 |        610 |      5,429 |
| phpMyAdmin4.8.5\themes\original (Files)                                                                                                              |          2 |         27 |         45 |         14 |         86 |
| phpMyAdmin4.8.5\themes\original\css                                                                                                                  |          3 |      3,281 |        196 |        553 |      4,030 |
| phpMyAdmin4.8.5\themes\original\jquery                                                                                                               |          1 |      1,222 |         48 |         43 |      1,313 |
| phpMyAdmin4.8.5\themes\pmahomme                                                                                                                      |         14 |      5,815 |        370 |        815 |      7,000 |
| phpMyAdmin4.8.5\themes\pmahomme (Files)                                                                                                              |          2 |         27 |         45 |         16 |         88 |
| phpMyAdmin4.8.5\themes\pmahomme\css                                                                                                                  |         11 |      4,566 |        277 |        756 |      5,599 |
| phpMyAdmin4.8.5\themes\pmahomme\jquery                                                                                                               |          1 |      1,222 |         48 |         43 |      1,313 |
| phpMyAdmin4.8.5\tmp                                                                                                                                  |         17 |      1,152 |        213 |        192 |      1,557 |
| phpMyAdmin4.8.5\tmp\twig                                                                                                                             |         17 |      1,152 |        213 |        192 |      1,557 |
| phpMyAdmin4.8.5\tmp\twig\0e                                                                                                                          |          1 |         78 |         15 |         11 |        104 |
| phpMyAdmin4.8.5\tmp\twig\26                                                                                                                          |          1 |         63 |         11 |         12 |         86 |
| phpMyAdmin4.8.5\tmp\twig\32                                                                                                                          |          1 |         46 |          4 |         11 |         61 |
| phpMyAdmin4.8.5\tmp\twig\3d                                                                                                                          |          1 |         57 |          8 |         13 |         78 |
| phpMyAdmin4.8.5\tmp\twig\42                                                                                                                          |          1 |         75 |         14 |         12 |        101 |
| phpMyAdmin4.8.5\tmp\twig\46                                                                                                                          |          1 |        190 |         53 |         11 |        254 |
| phpMyAdmin4.8.5\tmp\twig\49                                                                                                                          |          1 |         63 |         10 |         11 |         84 |
| phpMyAdmin4.8.5\tmp\twig\4d                                                                                                                          |          1 |         87 |         21 |         14 |        122 |
| phpMyAdmin4.8.5\tmp\twig\60                                                                                                                          |          1 |         56 |          9 |         11 |         76 |
| phpMyAdmin4.8.5\tmp\twig\85                                                                                                                          |          1 |         57 |         11 |         11 |         79 |
| phpMyAdmin4.8.5\tmp\twig\8f                                                                                                                          |          2 |         91 |         14 |         21 |        126 |
| phpMyAdmin4.8.5\tmp\twig\91                                                                                                                          |          1 |         58 |          8 |         11 |         77 |
| phpMyAdmin4.8.5\tmp\twig\a0                                                                                                                          |          1 |         33 |          3 |         10 |         46 |
| phpMyAdmin4.8.5\tmp\twig\a9                                                                                                                          |          1 |         67 |         12 |         11 |         90 |
| phpMyAdmin4.8.5\tmp\twig\e3                                                                                                                          |          1 |         98 |         17 |         12 |        127 |
| phpMyAdmin4.8.5\tmp\twig\f8                                                                                                                          |          1 |         33 |          3 |         10 |         46 |
| phpMyAdmin4.8.5\vendor                                                                                                                               |        760 |     92,324 |     32,096 |     11,218 |    135,638 |
| phpMyAdmin4.8.5\vendor (Files)                                                                                                                       |          1 |          3 |          1 |          4 |          8 |
| phpMyAdmin4.8.5\vendor\bacon                                                                                                                         |         61 |      5,154 |      2,708 |      1,154 |      9,016 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code                                                                                                           |         61 |      5,154 |      2,708 |      1,154 |      9,016 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code (Files)                                                                                                   |          7 |        134 |         16 |         16 |        166 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src                                                                                                       |         39 |      3,399 |      2,484 |        874 |      6,757 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode                                                                                           |         39 |      3,399 |      2,484 |        874 |      6,757 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode (Files)                                                                                   |          1 |         42 |         53 |         11 |        106 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Common                                                                                    |         12 |      1,538 |        864 |        391 |      2,793 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Encoder                                                                                   |          6 |      1,047 |        676 |        264 |      1,987 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Exception                                                                                 |          6 |         30 |         42 |         12 |         84 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Renderer                                                                                  |         14 |        742 |        849 |        196 |      1,787 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Renderer (Files)                                                                          |          1 |          7 |         16 |          4 |         27 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Renderer\Color                                                                            |          4 |        164 |        216 |         49 |        429 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Renderer\Image                                                                            |          7 |        477 |        500 |        111 |      1,088 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Renderer\Image (Files)                                                                    |          5 |        336 |        391 |         88 |        815 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Renderer\Image\Decorator                                                                  |          2 |        141 |        109 |         23 |        273 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\src\BaconQrCode\Renderer\Text                                                                             |          2 |         94 |        117 |         32 |        243 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\tests                                                                                                     |         15 |      1,621 |        208 |        264 |      2,093 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\tests (Files)                                                                                             |          2 |         13 |          7 |          3 |         23 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\tests\BaconQrCode                                                                                         |         13 |      1,608 |        201 |        261 |      2,070 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\tests\BaconQrCode\Common                                                                                  |          8 |        522 |         86 |        127 |        735 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\tests\BaconQrCode\Encoder                                                                                 |          3 |        884 |         89 |        112 |      1,085 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\tests\BaconQrCode\Renderer                                                                                |          2 |        202 |         26 |         22 |        250 |
| phpMyAdmin4.8.5\vendor\bacon\bacon-qr-code\tests\BaconQrCode\Renderer\Text                                                                           |          2 |        202 |         26 |         22 |        250 |
| phpMyAdmin4.8.5\vendor\composer                                                                                                                      |          8 |      1,647 |        154 |         87 |      1,888 |
| phpMyAdmin4.8.5\vendor\google                                                                                                                        |         17 |        673 |        601 |        211 |      1,485 |
| phpMyAdmin4.8.5\vendor\google\recaptcha                                                                                                              |         17 |        673 |        601 |        211 |      1,485 |
| phpMyAdmin4.8.5\vendor\google\recaptcha (Files)                                                                                                      |          6 |        264 |          0 |         72 |        336 |
| phpMyAdmin4.8.5\vendor\google\recaptcha\.github                                                                                                      |          1 |         20 |          0 |          9 |         29 |
| phpMyAdmin4.8.5\vendor\google\recaptcha\.github\ISSUE_TEMPLATE                                                                                       |          1 |         20 |          0 |          9 |         29 |
| phpMyAdmin4.8.5\vendor\google\recaptcha\src                                                                                                          |         10 |        389 |        601 |        130 |      1,120 |
| phpMyAdmin4.8.5\vendor\google\recaptcha\src (Files)                                                                                                  |          1 |         16 |         18 |          7 |         41 |
| phpMyAdmin4.8.5\vendor\google\recaptcha\src\ReCaptcha                                                                                                |          9 |        373 |        583 |        123 |      1,079 |
| phpMyAdmin4.8.5\vendor\google\recaptcha\src\ReCaptcha (Files)                                                                                        |          4 |        214 |        333 |         73 |        620 |
| phpMyAdmin4.8.5\vendor\google\recaptcha\src\ReCaptcha\RequestMethod                                                                                  |          5 |        159 |        250 |         50 |        459 |
| phpMyAdmin4.8.5\vendor\paragonie                                                                                                                     |         36 |      1,998 |      1,580 |        345 |      3,923 |
| phpMyAdmin4.8.5\vendor\paragonie\constant_time_encoding                                                                                              |         25 |      1,439 |        896 |        245 |      2,580 |
| phpMyAdmin4.8.5\vendor\paragonie\constant_time_encoding (Files)                                                                                      |          4 |        123 |          0 |         26 |        149 |
| phpMyAdmin4.8.5\vendor\paragonie\constant_time_encoding\src                                                                                          |         11 |        743 |        841 |        160 |      1,744 |
| phpMyAdmin4.8.5\vendor\paragonie\constant_time_encoding\tests                                                                                        |         10 |        573 |         55 |         59 |        687 |
| phpMyAdmin4.8.5\vendor\paragonie\random_compat                                                                                                       |         11 |        559 |        684 |        100 |      1,343 |
| phpMyAdmin4.8.5\vendor\paragonie\random_compat (Files)                                                                                               |          1 |         38 |          0 |          1 |         39 |
| phpMyAdmin4.8.5\vendor\paragonie\random_compat\lib                                                                                                   |         10 |        521 |        684 |         99 |      1,304 |
| phpMyAdmin4.8.5\vendor\phpmyadmin                                                                                                                    |        113 |     12,930 |      6,973 |      2,609 |     22,512 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\motranslator                                                                                                       |         13 |        680 |        491 |        204 |      1,375 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\motranslator (Files)                                                                                               |          7 |        278 |          0 |        104 |        382 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\motranslator\.github                                                                                               |          1 |         13 |          9 |          2 |         24 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\motranslator\src                                                                                                   |          5 |        389 |        482 |         98 |        969 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\shapefile                                                                                                          |          9 |      1,197 |        385 |        281 |      1,863 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\shapefile (Files)                                                                                                  |          6 |        171 |          0 |         75 |        246 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\shapefile\src                                                                                                      |          3 |      1,026 |        385 |        206 |      1,617 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\sql-parser                                                                                                         |         91 |     11,053 |      6,097 |      2,124 |     19,274 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\sql-parser (Files)                                                                                                 |          6 |        427 |          0 |        190 |        617 |
| phpMyAdmin4.8.5\vendor\phpmyadmin\sql-parser\.github                                                                                                 |          1 |         13 |          9 |          2 |         24 |
